[2025-03-10T01:38:59.963+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-03-10T01:39:00.043+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: tiki_extract_dag.extract_data manual__2025-03-10T01:38:50.111709+00:00 [queued]>
[2025-03-10T01:39:10.781+0000] {tiki_extract_dag.py:151} INFO - Skipped product 144228451 due to duplicate
[2025-03-10T01:39:10.782+0000] {tiki_extract_dag.py:151} INFO - Skipped product 134592241 due to duplicate
[2025-03-10T01:39:10.782+0000] {tiki_extract_dag.py:151} INFO - Skipped product 132081941 due to duplicate
[2025-03-10T01:39:10.783+0000] {tiki_extract_dag.py:151} INFO - Skipped product 126945370 due to duplicate
[2025-03-10T01:39:10.783+0000] {tiki_extract_dag.py:151} INFO - Skipped product 108535196 due to duplicate
[2025-03-10T01:39:10.784+0000] {tiki_extract_dag.py:151} INFO - Skipped product 90331609 due to duplicate
[2025-03-10T01:39:10.784+0000] {tiki_extract_dag.py:151} INFO - Skipped product 89441903 due to duplicate
[2025-03-10T01:39:10.785+0000] {tiki_extract_dag.py:151} INFO - Skipped product 74306493 due to duplicate
[2025-03-10T01:39:10.785+0000] {tiki_extract_dag.py:151} INFO - Skipped product 48291660 due to duplicate
[2025-03-10T01:39:10.786+0000] {tiki_extract_dag.py:151} INFO - Skipped product 45319679 due to duplicate
[2025-03-10T01:39:10.786+0000] {tiki_extract_dag.py:151} INFO - Skipped product 45319677 due to duplicate
[2025-03-10T01:39:10.787+0000] {tiki_extract_dag.py:151} INFO - Skipped product 44878245 due to duplicate
[2025-03-10T01:39:10.787+0000] {tiki_extract_dag.py:151} INFO - Skipped product 35226725 due to duplicate
[2025-03-10T01:39:10.788+0000] {tiki_extract_dag.py:151} INFO - Skipped product 34480145 due to duplicate
[2025-03-10T01:39:10.789+0000] {tiki_extract_dag.py:151} INFO - Skipped product 25074713 due to duplicate
[2025-03-10T01:39:10.789+0000] {tiki_extract_dag.py:151} INFO - Skipped product 22052317 due to duplicate
[2025-03-10T01:39:10.790+0000] {tiki_extract_dag.py:151} INFO - Skipped product 19805004 due to duplicate
[2025-03-10T01:39:10.790+0000] {tiki_extract_dag.py:151} INFO - Skipped product 19616866 due to duplicate
[2025-03-10T01:39:10.791+0000] {tiki_extract_dag.py:151} INFO - Skipped product 14423711 due to duplicate
[2025-03-10T01:39:10.791+0000] {tiki_extract_dag.py:151} INFO - Skipped product 12082922 due to duplicate
[2025-03-10T01:39:10.792+0000] {tiki_extract_dag.py:151} INFO - Skipped product 10758843 due to duplicate
[2025-03-10T01:39:10.792+0000] {tiki_extract_dag.py:151} INFO - Skipped product 1313871 due to duplicate
[2025-03-10T01:39:10.793+0000] {tiki_extract_dag.py:151} INFO - Skipped product 796867 due to duplicate
[2025-03-10T01:39:10.793+0000] {tiki_extract_dag.py:151} INFO - Skipped product 580690 due to duplicate
[2025-03-10T01:39:10.794+0000] {tiki_extract_dag.py:151} INFO - Skipped product 470430 due to duplicate
[2025-03-10T01:39:10.794+0000] {tiki_extract_dag.py:151} INFO - Skipped product 435317 due to duplicate
[2025-03-10T01:39:10.795+0000] {tiki_extract_dag.py:151} INFO - Skipped product 389688 due to duplicate
[2025-03-10T01:39:10.795+0000] {tiki_extract_dag.py:151} INFO - Skipped product 284446 due to duplicate
[2025-03-10T01:39:10.796+0000] {tiki_extract_dag.py:154} INFO - Extracted page 3 - lam-dep-suc-khoe, 40 items, total extracted: 0
[2025-03-10T01:39:15.162+0000] {tiki_extract_dag.py:151} INFO - Skipped product 276396801 due to duplicate
[2025-03-10T01:39:15.163+0000] {tiki_extract_dag.py:151} INFO - Skipped product 276258665 due to duplicate
[2025-03-10T01:39:15.164+0000] {tiki_extract_dag.py:151} INFO - Skipped product 276257651 due to duplicate
[2025-03-10T01:39:15.164+0000] {tiki_extract_dag.py:151} INFO - Skipped product 274317383 due to duplicate
[2025-03-10T01:39:15.165+0000] {tiki_extract_dag.py:151} INFO - Skipped product 248523366 due to duplicate
[2025-03-10T01:39:15.165+0000] {tiki_extract_dag.py:151} INFO - Skipped product 205080549 due to duplicate
[2025-03-10T01:39:15.166+0000] {tiki_extract_dag.py:151} INFO - Skipped product 195969972 due to duplicate
[2025-03-10T01:39:15.166+0000] {tiki_extract_dag.py:151} INFO - Skipped product 193879341 due to duplicate
