[2025-03-07T23:16:48.674+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-03-07T23:16:48.689+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: tiki_extract_dag.extract_data manual__2025-03-07T23:16:45.328510+00:00 [queued]>
[2025-03-07T23:16:48.697+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: tiki_extract_dag.extract_data manual__2025-03-07T23:16:45.328510+00:00 [queued]>
[2025-03-07T23:16:48.698+0000] {taskinstance.py:2867} INFO - Starting attempt 1 of 1
[2025-03-07T23:16:48.712+0000] {taskinstance.py:2890} INFO - Executing <Task(PythonOperator): extract_data> on 2025-03-07 23:16:45.328510+00:00
[2025-03-07T23:16:48.720+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=782) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2025-03-07T23:16:48.721+0000] {standard_task_runner.py:72} INFO - Started process 784 to run task
[2025-03-07T23:16:48.722+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'tiki_extract_dag', 'extract_data', 'manual__2025-03-07T23:16:45.328510+00:00', '--job-id', '41', '--raw', '--subdir', 'DAGS_FOLDER/tiki_extract_dag.py', '--cfg-path', '/tmp/tmpbdtbrso1']
[2025-03-07T23:16:48.723+0000] {standard_task_runner.py:105} INFO - Job 41: Subtask extract_data
[2025-03-07T23:21:15.581+0000] {crawl_data.py:118} INFO - Extracted page 31 - dien-thoai-may-tinh-bang, 10 items, total extracted: 710
[2025-03-07T23:21:20.585+0000] {crawl_data.py:118} INFO - Extracted page 32 - dien-thoai-may-tinh-bang, 10 items, total extracted: 720
[2025-03-07T23:21:25.192+0000] {crawl_data.py:118} INFO - Extracted page 33 - dien-thoai-may-tinh-bang, 10 items, total extracted: 730
[2025-03-07T23:21:29.437+0000] {crawl_data.py:118} INFO - Extracted page 34 - dien-thoai-may-tinh-bang, 7 items, total extracted: 737
[2025-03-07T23:21:33.846+0000] {crawl_data.py:109} WARNING - No data found for page 35 - dien-thoai-may-tinh-bang
[2025-03-07T23:21:33.945+0000] {crawl_data.py:109} WARNING - No data found for page 36 - dien-thoai-may-tinh-bang
[2025-03-07T23:21:34.315+0000] {crawl_data.py:109} WARNING - No data found for page 37 - dien-thoai-may-tinh-bang
[2025-03-07T23:21:34.415+0000] {crawl_data.py:109} WARNING - No data found for page 38 - dien-thoai-may-tinh-bang
[2025-03-07T23:21:34.511+0000] {crawl_data.py:109} WARNING - No data found for page 39 - dien-thoai-may-tinh-bang
[2025-03-07T23:21:35.088+0000] {crawl_data.py:109} WARNING - No data found for page 40 - dien-thoai-may-tinh-bang
[2025-03-07T23:21:35.089+0000] {crawl_data.py:101} INFO - Crawling category laptop-may-vi-tinh-linh-kien with 40 pages
[2025-03-07T23:21:35.268+0000] {crawl_data.py:118} INFO - Extracted page 1 - laptop-may-vi-tinh-linh-kien, 10 items, total extracted: 747
[2025-03-07T23:21:39.841+0000] {crawl_data.py:118} INFO - Extracted page 2 - laptop-may-vi-tinh-linh-kien, 10 items, total extracted: 757
[2025-03-07T23:21:42.475+0000] {crawl_data.py:118} INFO - Extracted page 3 - laptop-may-vi-tinh-linh-kien, 10 items, total extracted: 767
[2025-03-07T23:21:46.967+0000] {crawl_data.py:118} INFO - Extracted page 4 - laptop-may-vi-tinh-linh-kien, 10 items, total extracted: 777
[2025-03-07T23:21:49.448+0000] {crawl_data.py:118} INFO - Extracted page 5 - laptop-may-vi-tinh-linh-kien, 10 items, total extracted: 787
[2025-03-07T23:21:54.666+0000] {crawl_data.py:118} INFO - Extracted page 6 - laptop-may-vi-tinh-linh-kien, 10 items, total extracted: 797
[2025-03-07T23:21:57.742+0000] {crawl_data.py:118} INFO - Extracted page 7 - laptop-may-vi-tinh-linh-kien, 10 items, total extracted: 807
[2025-03-07T23:22:01.210+0000] {crawl_data.py:118} INFO - Extracted page 8 - laptop-may-vi-tinh-linh-kien, 10 items, total extracted: 817
[2025-03-07T23:22:05.297+0000] {crawl_data.py:118} INFO - Extracted page 9 - laptop-may-vi-tinh-linh-kien, 10 items, total extracted: 827
[2025-03-07T23:22:07.848+0000] {crawl_data.py:118} INFO - Extracted page 10 - laptop-may-vi-tinh-linh-kien, 10 items, total extracted: 837
[2025-03-07T23:22:11.611+0000] {crawl_data.py:118} INFO - Extracted page 11 - laptop-may-vi-tinh-linh-kien, 10 items, total extracted: 847
[2025-03-07T23:22:15.950+0000] {crawl_data.py:118} INFO - Extracted page 12 - laptop-may-vi-tinh-linh-kien, 10 items, total extracted: 857
[2025-03-07T23:22:20.379+0000] {crawl_data.py:118} INFO - Extracted page 13 - laptop-may-vi-tinh-linh-kien, 10 items, total extracted: 867
[2025-03-07T23:22:23.717+0000] {crawl_data.py:118} INFO - Extracted page 14 - laptop-may-vi-tinh-linh-kien, 10 items, total extracted: 877
[2025-03-07T23:22:28.747+0000] {crawl_data.py:118} INFO - Extracted page 15 - laptop-may-vi-tinh-linh-kien, 10 items, total extracted: 887
[2025-03-07T23:22:33.665+0000] {crawl_data.py:118} INFO - Extracted page 16 - laptop-may-vi-tinh-linh-kien, 10 items, total extracted: 897
[2025-03-07T23:22:38.868+0000] {crawl_data.py:118} INFO - Extracted page 17 - laptop-may-vi-tinh-linh-kien, 10 items, total extracted: 907
[2025-03-07T23:22:42.477+0000] {crawl_data.py:118} INFO - Extracted page 18 - laptop-may-vi-tinh-linh-kien, 10 items, total extracted: 917
[2025-03-07T23:22:45.443+0000] {crawl_data.py:118} INFO - Extracted page 19 - laptop-may-vi-tinh-linh-kien, 10 items, total extracted: 927
[2025-03-07T23:22:49.202+0000] {crawl_data.py:118} INFO - Extracted page 20 - laptop-may-vi-tinh-linh-kien, 10 items, total extracted: 937
[2025-03-07T23:22:52.716+0000] {crawl_data.py:118} INFO - Extracted page 21 - laptop-may-vi-tinh-linh-kien, 10 items, total extracted: 947
[2025-03-07T23:22:55.970+0000] {crawl_data.py:118} INFO - Extracted page 22 - laptop-may-vi-tinh-linh-kien, 10 items, total extracted: 957
[2025-03-07T23:23:00.125+0000] {crawl_data.py:118} INFO - Extracted page 23 - laptop-may-vi-tinh-linh-kien, 10 items, total extracted: 967
[2025-03-07T23:23:02.957+0000] {crawl_data.py:118} INFO - Extracted page 24 - laptop-may-vi-tinh-linh-kien, 10 items, total extracted: 977
[2025-03-07T23:23:07.761+0000] {crawl_data.py:118} INFO - Extracted page 25 - laptop-may-vi-tinh-linh-kien, 10 items, total extracted: 987
