[2025-03-07T22:26:43.125+0000] {crawl_data.py:111} INFO - Extracted page 14 - laptop-may-vi-tinh-linh-kien
[2025-03-07T22:26:46.351+0000] {crawl_data.py:111} INFO - Extracted page 15 - laptop-may-vi-tinh-linh-kien
[2025-03-07T22:26:48.738+0000] {crawl_data.py:111} INFO - Extracted page 16 - laptop-may-vi-tinh-linh-kien
[2025-03-07T22:26:51.490+0000] {crawl_data.py:111} INFO - Extracted page 17 - laptop-may-vi-tinh-linh-kien
[2025-03-07T22:26:54.043+0000] {crawl_data.py:111} INFO - Extracted page 18 - laptop-may-vi-tinh-linh-kien
[2025-03-07T22:26:56.722+0000] {crawl_data.py:111} INFO - Extracted page 19 - laptop-may-vi-tinh-linh-kien
[2025-03-07T22:26:58.551+0000] {crawl_data.py:111} INFO - Extracted page 20 - laptop-may-vi-tinh-linh-kien
[2025-03-07T22:27:00.731+0000] {crawl_data.py:111} INFO - Extracted page 21 - laptop-may-vi-tinh-linh-kien
[2025-03-07T22:27:02.079+0000] {crawl_data.py:111} INFO - Extracted page 22 - laptop-may-vi-tinh-linh-kien
[2025-03-07T22:27:04.290+0000] {crawl_data.py:111} INFO - Extracted page 23 - laptop-may-vi-tinh-linh-kien
[2025-03-07T22:27:06.015+0000] {crawl_data.py:111} INFO - Extracted page 24 - laptop-may-vi-tinh-linh-kien
[2025-03-07T22:27:07.856+0000] {crawl_data.py:111} INFO - Extracted page 25 - laptop-may-vi-tinh-linh-kien
[2025-03-07T22:27:10.308+0000] {crawl_data.py:111} INFO - Extracted page 26 - laptop-may-vi-tinh-linh-kien
[2025-03-07T22:27:11.773+0000] {crawl_data.py:111} INFO - Extracted page 27 - laptop-may-vi-tinh-linh-kien
[2025-03-07T22:27:14.868+0000] {crawl_data.py:111} INFO - Extracted page 28 - laptop-may-vi-tinh-linh-kien
[2025-03-07T22:27:16.332+0000] {crawl_data.py:111} INFO - Extracted page 29 - laptop-may-vi-tinh-linh-kien
[2025-03-07T22:27:19.088+0000] {crawl_data.py:111} INFO - Extracted page 30 - laptop-may-vi-tinh-linh-kien
[2025-03-07T22:27:21.455+0000] {crawl_data.py:111} INFO - Extracted page 31 - laptop-may-vi-tinh-linh-kien
[2025-03-07T22:27:22.962+0000] {crawl_data.py:111} INFO - Extracted page 32 - laptop-may-vi-tinh-linh-kien
[2025-03-07T22:27:26.194+0000] {crawl_data.py:111} INFO - Extracted page 33 - laptop-may-vi-tinh-linh-kien
[2025-03-07T22:27:27.955+0000] {crawl_data.py:111} INFO - Extracted page 34 - laptop-may-vi-tinh-linh-kien
[2025-03-07T22:27:29.972+0000] {crawl_data.py:111} INFO - Extracted page 35 - laptop-may-vi-tinh-linh-kien
[2025-03-07T22:27:32.054+0000] {crawl_data.py:111} INFO - Extracted page 36 - laptop-may-vi-tinh-linh-kien
[2025-03-07T22:27:33.450+0000] {crawl_data.py:111} INFO - Extracted page 37 - laptop-may-vi-tinh-linh-kien
[2025-03-07T22:27:35.905+0000] {crawl_data.py:111} INFO - Extracted page 38 - laptop-may-vi-tinh-linh-kien
[2025-03-07T22:27:37.817+0000] {crawl_data.py:111} INFO - Extracted page 39 - laptop-may-vi-tinh-linh-kien
[2025-03-07T22:27:40.559+0000] {crawl_data.py:111} INFO - Extracted page 40 - laptop-may-vi-tinh-linh-kien
[2025-03-07T22:27:42.603+0000] {crawl_data.py:111} INFO - Extracted page 1 - dien-gia-dung
[2025-03-07T22:27:44.260+0000] {crawl_data.py:111} INFO - Extracted page 2 - dien-gia-dung
[2025-03-07T22:27:46.165+0000] {crawl_data.py:111} INFO - Extracted page 3 - dien-gia-dung
[2025-03-07T22:27:48.707+0000] {crawl_data.py:111} INFO - Extracted page 4 - dien-gia-dung
[2025-03-07T22:27:50.347+0000] {crawl_data.py:111} INFO - Extracted page 5 - dien-gia-dung
[2025-03-07T22:27:52.473+0000] {crawl_data.py:111} INFO - Extracted page 6 - dien-gia-dung
[2025-03-07T22:27:54.183+0000] {crawl_data.py:111} INFO - Extracted page 7 - dien-gia-dung
[2025-03-07T22:27:57.376+0000] {crawl_data.py:111} INFO - Extracted page 8 - dien-gia-dung
[2025-03-07T22:27:58.693+0000] {crawl_data.py:111} INFO - Extracted page 9 - dien-gia-dung
[2025-03-07T22:28:00.127+0000] {crawl_data.py:111} INFO - Extracted page 10 - dien-gia-dung
[2025-03-07T22:28:03.157+0000] {crawl_data.py:111} INFO - Extracted page 11 - dien-gia-dung
[2025-03-07T22:28:05.473+0000] {crawl_data.py:111} INFO - Extracted page 12 - dien-gia-dung
[2025-03-07T22:28:08.458+0000] {crawl_data.py:111} INFO - Extracted page 13 - dien-gia-dung
[2025-03-07T22:28:09.852+0000] {crawl_data.py:111} INFO - Extracted page 14 - dien-gia-dung
[2025-03-07T22:28:12.588+0000] {crawl_data.py:111} INFO - Extracted page 15 - dien-gia-dung
[2025-03-07T22:28:13.856+0000] {crawl_data.py:111} INFO - Extracted page 16 - dien-gia-dung
[2025-03-07T22:28:16.711+0000] {crawl_data.py:111} INFO - Extracted page 17 - dien-gia-dung
[2025-03-07T22:28:18.305+0000] {crawl_data.py:111} INFO - Extracted page 18 - dien-gia-dung
[2025-03-07T22:28:21.001+0000] {crawl_data.py:111} INFO - Extracted page 19 - dien-gia-dung
[2025-03-07T22:28:22.738+0000] {crawl_data.py:111} INFO - Extracted page 20 - dien-gia-dung
[2025-03-07T22:28:24.303+0000] {crawl_data.py:111} INFO - Extracted page 21 - dien-gia-dung
[2025-03-07T22:28:25.672+0000] {crawl_data.py:111} INFO - Extracted page 22 - dien-gia-dung
[2025-03-07T22:28:27.871+0000] {crawl_data.py:111} INFO - Extracted page 23 - dien-gia-dung
[2025-03-07T22:28:29.126+0000] {crawl_data.py:111} INFO - Extracted page 24 - dien-gia-dung
[2025-03-07T22:28:32.372+0000] {crawl_data.py:111} INFO - Extracted page 25 - dien-gia-dung
[2025-03-07T22:28:34.145+0000] {crawl_data.py:111} INFO - Extracted page 26 - dien-gia-dung
[2025-03-07T22:28:36.235+0000] {crawl_data.py:111} INFO - Extracted page 27 - dien-gia-dung
[2025-03-07T22:28:38.759+0000] {crawl_data.py:111} INFO - Extracted page 28 - dien-gia-dung
[2025-03-07T22:28:40.168+0000] {crawl_data.py:111} INFO - Extracted page 29 - dien-gia-dung
[2025-03-07T22:28:43.276+0000] {crawl_data.py:111} INFO - Extracted page 30 - dien-gia-dung
[2025-03-07T22:28:45.653+0000] {crawl_data.py:111} INFO - Extracted page 31 - dien-gia-dung
[2025-03-07T22:28:46.912+0000] {crawl_data.py:111} INFO - Extracted page 32 - dien-gia-dung
[2025-03-07T22:28:49.368+0000] {crawl_data.py:111} INFO - Extracted page 33 - dien-gia-dung
[2025-03-07T22:28:52.159+0000] {crawl_data.py:111} INFO - Extracted page 34 - dien-gia-dung
[2025-03-07T22:28:54.146+0000] {crawl_data.py:111} INFO - Extracted page 35 - dien-gia-dung
[2025-03-07T22:28:57.274+0000] {crawl_data.py:111} INFO - Extracted page 36 - dien-gia-dung
[2025-03-07T22:28:58.660+0000] {crawl_data.py:111} INFO - Extracted page 37 - dien-gia-dung
[2025-03-07T22:29:00.359+0000] {crawl_data.py:111} INFO - Extracted page 38 - dien-gia-dung
